parameter_set_id,manifest_version,origin,parent_parameter_set_id,source_candidate_id,sampling_index,raw_candidate_index,sampling_seed,C_d,eta_s,C_s_J_K,irrigation_flow_L_h,ET_scale,classification,config_hash,config_file,config_file_sha256,seasonal_preflight_file,seasonal_preflight_file_sha256,seasonal_preflight_status,reference_june_status,humid_stress_status,hot_solar_status,dry_vpd_status,transition_status,full_horizon_status,known_joint_constraint_pass,eligibility_basis,eligibility_status
pa1_full_017,2.0,V1_RETAINED,pa1_full_017,lhs_candidate_000017,17,17,20260816,0.5763266823727005,0.1752415654318843,78464.4902828002,9.629356356047666,1.157551029868022,APPROVED_FULL_RUN,baec68e979dadfaddd2228f41c4f55e480f9a7adf05572671dbd487c6c948ddc,outputs\final_parameter_preflight\configs\pa1_full_017.yaml,edc51e81830e4a062e846bcc2cf36080aed94d6fc571d5f3b6a5d6509350dc73,outputs\seasonal_stress_preflight\validation\pa1_full_017.json,7d1edc61db3a4693c016bd2f88c6dbe24b1484978d74fdbaa77c0ddc8b0de82d,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_full_018,2.0,V1_RETAINED,pa1_full_018,lhs_candidate_000018,18,18,20260816,0.4441514834104481,0.16481551227511382,88923.59066740777,7.537618416974564,1.000019161624783,APPROVED_FULL_RUN,79057dfefe9e28cedf35cf0f74b2a77d05ff6517c79772d54e8744beb1636828,outputs\final_parameter_preflight\configs\pa1_full_018.yaml,2621eb2e31874ecd6ca7fa98595be68a324eb172e74835e584657ba2b9a77d3c,outputs\seasonal_stress_preflight\validation\pa1_full_018.json,99fa54cef5597b1b24b165dd3dccb9db52adf41c58f265e1cd0592c54802015e,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_full_021,2.0,V1_RETAINED,pa1_full_021,lhs_candidate_000021,21,21,20260816,0.500915084076389,0.1946931549390054,72838.06824301925,8.127593605747457,1.0140368021779966,APPROVED_FULL_RUN,2ff5737549fe94aea92a01d56939faf1aa35a80c15c3374ef51af1b6138c6536,outputs\final_parameter_preflight\configs\pa1_full_021.yaml,70e7a6915e0a90866725997207342eeb4e1c55e203e507779156ec4926013bb1,outputs\seasonal_stress_preflight\validation\pa1_full_021.json,df5e3604300cc747bd32ab7b3b07fca55551c2ddf6567376263dcf0522d13e00,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_full_023,2.0,V1_RETAINED,pa1_full_023,lhs_candidate_000023,23,23,20260816,0.5344203505604506,0.18183194887755,87823.56290254838,7.693059249214098,1.0663060178666528,APPROVED_FULL_RUN,ddcc0f1077fc26ec6d378edf40df5228428d3096024022caf2ef66aeaf98506e,outputs\final_parameter_preflight\configs\pa1_full_023.yaml,6037d49522052ae8f85cdb0cc8a32c8c6871f77796f837f4d2039075455972a7,outputs\seasonal_stress_preflight\validation\pa1_full_023.json,658eae0ca0aba2e276898d266c717163f76375e6fc42bf20b026d80d4cda01aa,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_v2_replacement_001,2.0,V2_REPLACEMENT,pa1_full_006,lhs_candidate_000024,24,24,20260816,0.5061144809870104,0.18524526235811756,88537.96295854819,8.995656928186776,1.0669255605294115,EXTREME_VALID_APPROVED,2352ec463a60dc856e32eca051d4590d2422cd9372fb8d91a182f5f760061b33,outputs\seasonal_stress_preflight\configs\pa1_v2_replacement_001.yaml,d5f26ace9b3e8f6054a8b244da5cd9e4aeabe2e5b734766f733fd6410acce278,outputs\seasonal_stress_preflight\validation\pa1_v2_replacement_001.json,c188bc7c4921936f28496ac468bb8f4e346a48b99c105e778aecca34900f870a,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_v2_replacement_002,2.0,V2_REPLACEMENT,pa1_full_007,lhs_candidate_000025,25,25,20260816,0.47598918152292896,0.1699235632474584,74261.27734470839,8.002399785851457,1.1646844070262152,EXTREME_VALID_APPROVED,11995d3bde61cee00bd5ad691da7eecaf254d8a838100f996983bacad7361be2,outputs\seasonal_stress_preflight\configs\pa1_v2_replacement_002.yaml,c4f9acbe25268dc9160dd6479c5c6fff24b0f6ddad096b0fb5b44b910c9dd4e2,outputs\seasonal_stress_preflight\validation\pa1_v2_replacement_002.json,f1fb77ee3c46776ab64deca794576c7fe1076b50dbee7bc652501777d6dd9dbd,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_v2_replacement_003,2.0,V2_REPLACEMENT,pa1_full_008,lhs_candidate_000026,26,26,20260816,0.6131857920561063,0.10956749145620032,71159.05836091201,9.75350552027852,1.1928540883037413,EXTREME_VALID_APPROVED,4ccf117c96eb6ba37c392fe9492f077c86ca02ad7e39bddf1a3a95755efd1d8e,outputs\seasonal_stress_preflight\configs\pa1_v2_replacement_003.yaml,c366108bf9eada96586158c76aa3e9eae147cac83c26d31789845d0502208475,outputs\seasonal_stress_preflight\validation\pa1_v2_replacement_003.json,478307ed19bc028226df8b357d6ee4e4799e8deb624853e4b75d8699d317ff04,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_v2_replacement_004,2.0,V2_REPLACEMENT,pa1_full_013,lhs_candidate_000028,28,28,20260816,0.5625946211798503,0.1559605351644757,85723.44219733565,7.380064560424939,1.0824434328891437,APPROVED_FULL_RUN,932ec5b4a2a9abcb10845db8ed02fb4daab7e67ef3f611bf92651c0bcab60917,outputs\seasonal_stress_preflight\configs\pa1_v2_replacement_004.yaml,d41b81ae6c21ecd2ac8be6f6d4f203854b9f115913af0a5812951631f8ff5333,outputs\seasonal_stress_preflight\validation\pa1_v2_replacement_004.json,e6bff318c94d0535176711de7c322b6b06a163de87cf40ecde33fbba2a946e33,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_v2_replacement_005,2.0,V2_REPLACEMENT,pa1_full_014,lhs_candidate_000029,29,29,20260816,0.6033436018818408,0.12668839948261196,86584.61481850885,9.242038946918303,1.044108749306409,EXTREME_VALID_APPROVED,a74854888373dd88d3998f89b6eeb1f2f73fa641f0e001b90d3cdead4e145983,outputs\seasonal_stress_preflight\configs\pa1_v2_replacement_005.yaml,679768017b2f933414647ad2bb77d433a395e9e68983ec35eaa6470c6244dad0,outputs\seasonal_stress_preflight\validation\pa1_v2_replacement_005.json,717db90d5406dfbccc9af7d0d0da0c3c84afae346b73382180575569c95a1244,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_v2_replacement_006,2.0,V2_REPLACEMENT,pa1_full_015,lhs_candidate_000031,31,31,20260816,0.4863686074221141,0.1789008127507796,67389.85960927802,6.373215411849289,1.0529069723179374,EXTREME_VALID_APPROVED,5c81682e1e577f01d02b52c5ce40d1057edbaad708be5596b95f07c73f1700f8,outputs\seasonal_stress_preflight\configs\pa1_v2_replacement_006.yaml,e8d6b546136ccbfab064b7e6e72ee67ce675eb1b8d4371b4f3c0a9819ce5d912,outputs\seasonal_stress_preflight\validation\pa1_v2_replacement_006.json,3434cd7ef4b5cef19f9c91a86b7dc24a1412ccf00e72f21024b1dbff610e445f,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_v2_replacement_007,2.0,V2_REPLACEMENT,pa1_full_016,lhs_candidate_000033,33,33,20260816,0.5893102791884168,0.18710255841854878,84076.80608092397,7.841574162159393,1.087466249937438,APPROVED_FULL_RUN,f0872c0d0e92f763ff3c256b2f560be52aeefefc6fba61c4bae80c70907e464b,outputs\seasonal_stress_preflight\configs\pa1_v2_replacement_007.yaml,0249ccefe466cf483b38ec39a112bfbd8ea67641fa5f507f2f84532949cbf2ec,outputs\seasonal_stress_preflight\validation\pa1_v2_replacement_007.json,dfe3fd41cf4d43e81afb27fac6647509582387d290405c4e7329bd7e6273b24f,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_v2_replacement_008,2.0,V2_REPLACEMENT,pa1_full_019,lhs_candidate_000034,34,34,20260816,0.6268192956775811,0.1938173258997665,82056.01442147959,8.669263636561912,1.2521667509764556,EXTREME_VALID_APPROVED,f970bd363f39614d216e1e874a9dbcb4b0c22c40f1c50762cc7ca1db0240cc7e,outputs\seasonal_stress_preflight\configs\pa1_v2_replacement_008.yaml,ea844f289635e2293b60b3ff36c4e2d1e3341872da8cfd694eaf10e4d6b6a72a,outputs\seasonal_stress_preflight\validation\pa1_v2_replacement_008.json,202961afa678f30287ae08b7b7378d4874738864d95dd3760f9d4355f41e36ed,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_v2_replacement_009,2.0,V2_REPLACEMENT,pa1_full_020,lhs_candidate_000035,35,35,20260816,0.43389295037967124,0.18851797687185123,81217.53292291505,6.639118693079654,1.0165512915722807,EXTREME_VALID_APPROVED,b4944a56a0d043940590401c6ab3c11da4f8fdd9b607e86082f111e215c1ff4c,outputs\seasonal_stress_preflight\configs\pa1_v2_replacement_009.yaml,44448a7eb96970645453538bfbd150ed015ca897903f56a7546ae5f31ff7f687,outputs\seasonal_stress_preflight\validation\pa1_v2_replacement_009.json,d783708774eef80bac51f9b3bfade5ff2832adf631c6ecdbc8b5932e9f06a9a6,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_v2_replacement_010,2.0,V2_REPLACEMENT,pa1_full_022,lhs_candidate_000052,52,52,20260816,0.6377803757297924,0.14404252555161018,78312.82732607471,10.036404119221501,1.003498660056371,EXTREME_VALID_APPROVED,7c7e89e2f190f4e383fe192cee500033cb55ad2d3200cc62e639aad93c2463d8,outputs\seasonal_stress_preflight\configs\pa1_v2_replacement_010.yaml,a06f2fd04a3f236d65d72429fd30c413118d092b54391975557adc55b1f6372e,outputs\seasonal_stress_preflight\validation\pa1_v2_replacement_010.json,6e87ccbc43a02d3e2528b4ed5e1d77bd279e18d0aa0a30802762683ed0ea6c9d,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
