candidate_id,parameter_set_id,final_parameter_set_id,sampling_index,raw_candidate_index,lhs_batch,lhs_row,sampling_seed,sampling_method,sampling_version,is_baseline,C_d,eta_s,C_s_J_K,irrigation_flow_L_h,ET_scale,u_C_d,u_eta_s,u_C_s,u_irrigation_flow_L_h,u_ET_scale,stratum_C_d,stratum_eta_s,stratum_C_s,stratum_irrigation_flow_L_h,stratum_ET_scale,config_hash,joint_constraint_pass,violated_constraints,preflight_status,classification,reason
lhs_candidate_000010,pa1_full_010,pa1_full_010,10,10,0,9,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.5425751179759423,0.1709148979617735,71085.46990939286,6.78110312254388,1.027760635323201,0.5795442541048432,0.5028922752928746,0.13654182568006087,0.06344656666271119,0.17650809244858684,13,11,3,1,4,381de891d081a0afdf0fbdef295cb89c45de5900fa4ee7eda2dbf9497739ffb7,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000011,pa1_full_011,pa1_full_011,11,11,0,10,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.6161757030527564,0.13257770940825891,79677.48061941231,9.925998246296476,1.1710857296541235,0.8553195842541037,0.10613071502889619,0.4302258261414968,0.48530917445031896,0.815345676679892,19,2,9,11,18,588d1d08aac332bec5bc79095b761e83e8e3dae06ed4992f407a5ef4c74e8ea3,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000012,pa1_full_012,pa1_full_012,12,12,0,11,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.4597714964480232,0.15781559524254296,84085.45974139718,5.449289389440048,1.181860987571267,0.3332406437868904,0.3342643053249554,0.6445659677271829,0.004037219109268213,0.8449241526929295,7,7,14,0,19,0ba14850bb450ce274a6b5c2a6b3be0f30b6c3c8f7346f8acddae7aa66a7658a,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000013,pa1_full_013,pa1_full_013,13,13,0,12,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.5685513784820908,0.14259870766309696,89610.48398990538,11.253190201710028,1.0479059002777538,0.6707660176841941,0.18146498945659958,0.9742008467960472,0.7192283267087652,0.2938729431692247,15,4,22,16,6,631fbaa1dac5ccf701b4247028d3fb8e29cc393aecfcefe061a04045e01c4a83,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000014,pa1_full_014,pa1_full_014,14,14,0,13,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.35213316097598674,0.16230213304229726,84797.15244743024,10.225121239757117,1.2610378170228205,0.11429382058540984,0.38815557816201085,0.6832208550012175,0.5440106564996278,0.9831327588628086,2,8,15,12,22,b1c0ad9ea7edfd98e981d8566544a325ae692a6d5c1bcde7d30c4a11f1272506,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000015,pa1_full_015,pa1_full_015,15,15,0,14,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.39585354087554603,0.1251650667199492,85724.05289504018,9.01411905188864,1.2166069507544035,0.18942523196784777,0.06332805830194946,0.7352521081631387,0.32226303525470706,0.9227288815280169,4,1,16,7,21,1a67f3e9de017c0cdb0883c259be0937b7b7e7961324391330af7a83cf87af37,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000016,pa1_full_016,pa1_full_016,16,16,0,15,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.4666995058072113,0.173988756971094,68079.13984793026,11.537810684985814,1.0588658151435872,0.3512524760385715,0.5474336158127611,0.0725250007582383,0.7602649029400321,0.3539367210403703,8,12,1,17,8,7931ceea8aee911f49bf8c30ad98f6e83ade36d388b0971b247bfbac8691c1de,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000017,pa1_full_017,pa1_full_017,17,17,0,16,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.5763266823727005,0.1752415654318843,78464.4902828002,9.629356356047666,1.157551029868022,0.6993667746451527,0.5661293168640524,0.37881933489291386,0.42861880542557823,0.7745365656482095,16,13,8,9,17,baec68e979dadfaddd2228f41c4f55e480f9a7adf05572671dbd487c6c948ddc,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000018,pa1_full_018,pa1_full_018,18,18,0,17,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.4441514834104481,0.16481551227511382,88923.59066740777,7.537618416974564,1.000019161624783,0.294370107908752,0.42010506314854296,0.9295267745508421,0.12879014460336985,0.00012774008557774234,6,9,21,2,0,79057dfefe9e28cedf35cf0f74b2a77d05ff6517c79772d54e8744beb1636828,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000019,pa1_full_019,pa1_full_019,19,19,0,18,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.6371249092370019,0.1994964379704339,77353.8549849558,10.867768477398197,1.00700190563823,0.9435959816071962,0.98995411688044,0.3346180920431951,0.6584932528723197,0.04613463000412607,21,22,7,15,1,38fe614908d7835b49f36108935e78d29dca5f5e0f34647716fe64bb3acc1e77,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000020,pa1_full_020,pa1_full_020,20,20,0,19,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.6426082813659142,0.1547641049817945,88262.26130654673,12.123724665594288,1.1122118517585284,0.9674177320182136,0.29991071944570075,0.8875060157328095,0.8345408040137862,0.608173459778212,22,6,20,19,13,7e0a6f58ac3eb6c1062b5ef561b87c1535e85ad71c4367b8c46725cf3a616bd6,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000021,pa1_full_021,pa1_full_021,21,21,0,20,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.500915084076389,0.1946931549390054,72838.06824301925,8.127593605747457,1.0140368021779966,0.4471599398750629,0.8966793592302487,0.18312888468046612,0.19563683525424758,0.09138943879348657,10,20,4,4,2,2ff5737549fe94aea92a01d56939faf1aa35a80c15c3374ef51af1b6138c6536,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000022,pa1_full_022,pa1_full_022,22,22,0,21,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.608768807341019,0.1885689250038075,74183.1355398643,10.676128109480423,1.0910375915614683,0.8251453721234524,0.7844454476330077,0.22351259304684656,0.6260826374874933,0.5148301317729803,18,18,5,14,11,819c5b05dea1ee5802a4528ccb2250ccc2a5bd347963b5b4991368cdc650aedf,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000023,pa1_full_023,pa1_full_023,23,23,0,22,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.5344203505604506,0.18183194887755,87823.56290254838,7.693059249214098,1.0663060178666528,0.5522813376245663,0.6696467857097959,0.8601673917689622,0.14505136239555208,0.39319025238509747,12,15,19,3,9,ddcc0f1077fc26ec6d378edf40df5228428d3096024022caf2ef66aeaf98506e,True,,PASS,APPROVED_FULL_RUN,
